member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,sub_grade,home_ownership,annual_inc,dti,inq_last_6mths,mths_since_last_record,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
58189336,14350,14350,14350,36,19.19,15,1,28700,33.88,1,75,1,22515,73.1,28,2,1173.84,0,0,0,0,74,26,0,0,28699,30800,0
70011223,4800,4800,4800,36,10.99,8,2,65000,3.64,1,0,0,7624,23.2,13,1,83.95,0,0,0,0,0,9,0,0,9974,32900,0
70255675,10000,10000,10000,36,7.26,4,1,45000,18.42,0,0,0,10877,31.2,19,1,56.47,0,0,0,0,0,9,0,65,38295,34900,0
1893936,15000,15000,15000,36,19.72,20,3,105000,14.97,2,0,0,13712,55.5,21,2,4858.62,0,0,0,0,0,135,0,0,55564,24700,0
7652106,16000,16000,16000,36,10.64,4,3,52000,20.16,0,0,0,35835,76.2,27,1,2296.41,0,0,0,0,0,96,0,0,47159,47033,0
10247268,15000,15000,14950,36,8.9,5,2,120000,12.3,0,0,0,19040,64.5,30,2,1957.24,0,0,0,0,0,113,0,0,350619,29500,0
8089625,5000,5000,4975,36,7.9,4,3,75000,5.7,0,105,2,13272,23.9,23,2,578.36,0,0,0,0,0,117,0,1023,13272,55500,1
23043116,6000,6000,6000,36,9.17,2,2,54000,11.63,1,0,0,3484,29.5,49,2,637.51,0,0,0,0,54,78,0,0,272579,11800,0
45900933,6000,6000,6000,36,13.99,12,2,92000,30.85,0,0,0,47567,76.6,27,1,621.72,0,0,0,0,0,44,0,0,281521,62100,0
41272507,34550,34550,34550,60,17.14,16,2,72000,33.92,0,0,0,30040,90.5,30,1,5535.46,0,0,0,0,0,52,0,0,76034,33200,0
56621560,25000,25000,24975,36,13.33,9,1,135000,14.2,1,0,0,23893,50.8,32,2,1551.58,0,0,0,0,52,26,0,0,72193,47000,0
4221941,15000,15000,15000,36,18.49,8,3,76000,15.86,1,0,0,14085,71.9,30,2,3726.32,0,0,0,0,82,95,0,0,39152,19600,1
43387539,18000,18000,18000,36,6.99,3,2,62000,18.58,2,0,0,47795,34.2,31,2,992.37,0,0,0,0,0,48,0,0,194011,139900,0
23001903,9000,9000,9000,36,6.03,1,2,145000,15.42,0,0,0,11685,27.2,39,2,633.42,0,0,0,0,0,78,0,0,165164,43000,0
13670372,8800,8800,8800,36,13.65,3,3,80000,13.98,1,0,0,17060,41.4,17,1,1521.5,0,0,0,0,0,82,0,0,39634,41200,1
49874851,8000,8000,8000,36,15.61,4,3,50000,27.39,2,0,0,6544,35.4,24,2,801.55,0,0,0,0,0,35,0,0,48488,18500,0
